x;T
(0;0.666667)
(0.02;-6.27744e+66)
(0.04;-6.27744e+66)
(0.06;-6.27744e+66)
(0.08;-6.27744e+66)
(0.1;-6.27744e+66)
(0.12;-6.27744e+66)
(0.14;-6.27744e+66)
(0.16;-6.27744e+66)
(0.18;-6.27744e+66)
(0.2;-6.27744e+66)
(0.22;-6.27744e+66)
(0.24;-6.27744e+66)
(0.26;-6.27744e+66)
(0.28;-6.27744e+66)
(0.3;-6.27744e+66)
(0.32;-6.27744e+66)
(0.34;-6.27744e+66)
(0.36;-6.27744e+66)
(0.38;-6.27744e+66)
(0.4;-6.27744e+66)
(0.42;-6.27744e+66)
(0.44;-6.27744e+66)
(0.46;-6.27744e+66)
(0.48;-6.27744e+66)
(0.5;-6.27744e+66)
(0.52;-6.27744e+66)
(0.54;-6.27744e+66)
(0.56;-6.27744e+66)
(0.58;-6.27744e+66)
(0.6;-6.27744e+66)
(0.62;-6.27744e+66)
(0.64;-6.27744e+66)
(0.66;-6.27744e+66)
(0.68;-6.27744e+66)
(0.7;-6.27744e+66)
(0.72;-6.27744e+66)
(0.74;-6.27744e+66)
(0.76;-6.27744e+66)
(0.78;-6.27744e+66)
(0.8;-6.27744e+66)
(0.82;-6.27744e+66)
(0.84;-6.27744e+66)
(0.86;-6.27744e+66)
(0.88;-6.27744e+66)
(0.9;-6.27744e+66)
(0.92;-6.27744e+66)
(0.94;-6.27744e+66)
(0.96;-6.27744e+66)
(0.98;-6.27744e+66)
(1;0)
