x;T
(0;0.652822)
(0.02;0.639022)
(0.04;0.625264)
(0.06;0.611549)
(0.08;0.597876)
(0.1;0.584244)
(0.12;0.570652)
(0.14;0.557099)
(0.16;0.543586)
(0.18;0.53011)
(0.2;0.516672)
(0.22;0.503271)
(0.24;0.489905)
(0.26;0.476574)
(0.28;0.463278)
(0.3;0.450015)
(0.32;0.436784)
(0.34;0.423585)
(0.36;0.410418)
(0.38;0.39728)
(0.4;0.384171)
(0.42;0.371091)
(0.44;0.358038)
(0.46;0.345012)
(0.48;0.332012)
(0.5;0.319036)
(0.52;0.306085)
(0.54;0.293156)
(0.56;0.28025)
(0.58;0.267365)
(0.6;0.2545)
(0.62;0.241654)
(0.64;0.228827)
(0.66;0.216018)
(0.68;0.203224)
(0.7;0.190447)
(0.72;0.177684)
(0.74;0.164935)
(0.76;0.152199)
(0.78;0.139474)
(0.8;0.12676)
(0.82;0.114056)
(0.84;0.101361)
(0.86;0.0886734)
(0.88;0.075993)
(0.9;0.0633185)
(0.92;0.0506489)
(0.94;0.0379832)
(0.96;0.0253205)
(0.98;0.0126597)
(1;0)
