x;T
(0;0.666667)
(0.02;0.652646)
(0.04;0.638669)
(0.06;0.624735)
(0.08;0.610841)
(0.1;0.596989)
(0.12;0.583175)
(0.14;0.569401)
(0.16;0.555663)
(0.18;0.541962)
(0.2;0.528297)
(0.22;0.514666)
(0.24;0.501069)
(0.26;0.487504)
(0.28;0.47397)
(0.3;0.460468)
(0.32;0.446994)
(0.34;0.43355)
(0.36;0.420133)
(0.38;0.406743)
(0.4;0.393378)
(0.42;0.380039)
(0.44;0.366723)
(0.46;0.35343)
(0.48;0.34016)
(0.5;0.32691)
(0.52;0.313681)
(0.54;0.300471)
(0.56;0.287279)
(0.58;0.274105)
(0.6;0.260947)
(0.62;0.247806)
(0.64;0.234679)
(0.66;0.221566)
(0.68;0.208466)
(0.7;0.195379)
(0.72;0.182303)
(0.74;0.169238)
(0.76;0.156183)
(0.78;0.143136)
(0.8;0.130098)
(0.82;0.117067)
(0.84;0.104043)
(0.86;0.0910254)
(0.88;0.0780124)
(0.9;0.0650038)
(0.92;0.0519987)
(0.94;0.0389966)
(0.96;0.0259965)
(0.98;0.0129979)
(1;0)
