x,T
0,0.657534
0.02,0.643585
0.04,0.629682
0.06,0.615825
0.08,0.602013
0.1,0.588244
0.12,0.574519
0.14,0.560836
0.16,0.547194
0.18,0.533594
0.2,0.520034
0.22,0.506512
0.24,0.49303
0.26,0.479584
0.28,0.466176
0.3,0.452803
0.32,0.439466
0.34,0.426162
0.36,0.412891
0.38,0.399653
0.4,0.386446
0.42,0.37327
0.44,0.360123
0.46,0.347005
0.48,0.333914
0.5,0.32085
0.52,0.307812
0.54,0.294799
0.56,0.281809
0.58,0.268842
0.6,0.255897
0.62,0.242972
0.64,0.230068
0.66,0.217182
0.68,0.204314
0.7,0.191463
0.72,0.178627
0.74,0.165807
0.76,0.152999
0.78,0.140205
0.8,0.127422
0.82,0.11465
0.84,0.101887
0.86,0.0891325
0.88,0.0763855
0.9,0.0636449
0.92,0.0509095
0.94,0.0381784
0.96,0.0254505
0.98,0.0127247
1,0
