x,T
0,0.407583
0.02,0.391305
0.04,0.375678
0.06,0.360672
0.08,0.346254
0.1,0.332397
0.12,0.319072
0.14,0.306254
0.16,0.293919
0.18,0.282044
0.2,0.270607
0.22,0.259587
0.24,0.248966
0.26,0.238725
0.28,0.228846
0.3,0.219313
0.32,0.21011
0.34,0.201223
0.36,0.192636
0.38,0.184337
0.4,0.176313
0.42,0.168551
0.44,0.161041
0.46,0.15377
0.48,0.146729
0.5,0.139907
0.52,0.133296
0.54,0.126885
0.56,0.120666
0.58,0.114591
0.6,0.108599
0.62,0.102684
0.64,0.0968438
0.66,0.0910737
0.68,0.0853702
0.7,0.0797294
0.72,0.0741474
0.74,0.0686205
0.76,0.0631447
0.78,0.0577161
0.8,0.052331
0.82,0.0469852
0.84,0.041675
0.86,0.0363964
0.88,0.0311455
0.9,0.0259183
0.92,0.0207109
0.94,0.0155193
0.96,0.0103396
0.98,0.00516782
1,0
