x,y,fi
0,0,0
0,0.05,0
0,0.1,0
0,0.15,0
0,0.2,0
0,0.25,0
0,0.3,0
0,0.35,0
0,0.4,0
0,0.45,0
0,0.5,0
0,0.55,0
0,0.6,0
0,0.65,0
0,0.7,0
0,0.75,0
0,0.8,0
0,0.85,0
0,0.9,0
0,0.95,0
0,1,0
0,1.05,0
0,1.1,0
0,1.15,0
0,1.2,0
0,1.25,0
0,1.3,0
0,1.35,0
0,1.4,0
0,1.45,0
0,1.5,0
0,1.55,0
0,1.6,0
0,1.65,0
0,1.7,0
0,1.75,0
0,1.8,0
0,1.85,0
0,1.9,0
0,1.95,0
0,2,0
0,2.05,0
0,2.1,0
0,2.15,0
0,2.2,0
0,2.25,0
0,2.3,0
0,2.35,0
0,2.4,0
0,2.45,0
0,2.5,0
0,2.55,0
0,2.6,0
0,2.65,0
0,2.7,0
0,2.75,0
0,2.8,0
0,2.85,0
0,2.9,0
0,2.95,0
0,3,0
0,3.05,0
0,3.1,0
0,3.15,0
0,3.2,0
0,3.25,0
0,3.3,0
0,3.35,0
0,3.4,0
0,3.45,0
0,3.5,0
0,3.55,0
0,3.6,0
0,3.65,0
0,3.7,0
0,3.75,0
0,3.8,0
0,3.85,0
0,3.9,0
0,3.95,0
0,4,0
0.05,0,0
0.05,0.05,-0.0071014
0.05,0.1,-0.0139509
0.05,0.15,-0.0205468
0.05,0.2,-0.0268871
0.05,0.25,-0.0329699
0.05,0.3,-0.0387935
0.05,0.35,-0.0443559
0.05,0.4,-0.0496554
0.05,0.45,-0.0546901
0.05,0.5,-0.0594581
0.05,0.55,-0.0639576
0.05,0.6,-0.0681869
0.05,0.65,-0.0721441
0.05,0.7,-0.0758275
0.05,0.75,-0.0792352
0.05,0.8,-0.0823657
0.05,0.85,-0.0852172
0.05,0.9,-0.0877883
0.05,0.95,-0.0900772
0.05,1,-0.0920825
0.05,1.05,-0.093803
0.05,1.1,-0.0952372
0.05,1.15,-0.0963841
0.05,1.2,-0.0972426
0.05,1.25,-0.0978119
0.05,1.3,-0.0980913
0.05,1.35,-0.0980801
0.05,1.4,-0.0977784
0.05,1.45,-0.0971857
0.05,1.5,-0.0963027
0.05,1.55,-0.0951295
0.05,1.6,-0.0936672
0.05,1.65,-0.091917
0.05,1.7,-0.0898804
0.05,1.75,-0.0875595
0.05,1.8,-0.0849568
0.05,1.85,-0.0820753
0.05,1.9,-0.0789185
0.05,1.95,-0.0754906
0.05,2,-0.0717965
0.05,2.05,-0.0678414
0.05,2.1,-0.0636317
0.05,2.15,-0.0591744
0.05,2.2,-0.0544775
0.05,2.25,-0.0495495
0.05,2.3,-0.0444005
0.05,2.35,-0.0390411
0.05,2.4,-0.0334834
0.05,2.45,-0.0277405
0.05,2.5,-0.0218271
0.05,2.55,-0.0157588
0.05,2.6,-0.0095533
0.05,2.65,-0.0032294
0.05,2.7,0.00319195
0.05,2.75,0.00968817
0.05,2.8,0.0162344
0.05,2.85,0.0228037
0.05,2.9,0.0293665
0.05,2.95,0.0358906
0.05,3,0.0423406
0.05,3.05,0.048678
0.05,3.1,0.0548602
0.05,3.15,0.0608405
0.05,3.2,0.0665668
0.05,3.25,0.0719816
0.05,3.3,0.0770204
0.05,3.35,0.0816106
0.05,3.4,0.0856697
0.05,3.45,0.089103
0.05,3.5,0.0918005
0.05,3.55,0.0936324
0.05,3.6,0.0944429
0.05,3.65,0.0940404
0.05,3.7,0.0921827
0.05,3.75,0.0885519
0.05,3.8,0.0827103
0.05,3.85,0.0740143
0.05,3.9,0.06143
0.05,3.95,0.0430817
0.05,4,0.015
0.1,0,0
0.1,0.05,-0.0140771
0.1,0.1,-0.0276505
0.1,0.15,-0.0407165
0.1,0.2,-0.0532714
0.1,0.25,-0.0653114
0.1,0.3,-0.0768328
0.1,0.35,-0.0878321
0.1,0.4,-0.0983053
0.1,0.45,-0.108249
0.1,0.5,-0.117659
0.1,0.55,-0.126532
0.1,0.6,-0.134865
0.1,0.65,-0.142654
0.1,0.7,-0.149895
0.1,0.75,-0.156584
0.1,0.8,-0.162719
0.1,0.85,-0.168296
0.1,0.9,-0.173312
0.1,0.95,-0.177764
0.1,1,-0.181648
0.1,1.05,-0.184963
0.1,1.1,-0.187705
0.1,1.15,-0.189872
0.1,1.2,-0.191463
0.1,1.25,-0.192474
0.1,1.3,-0.192906
0.1,1.35,-0.192757
0.1,1.4,-0.192026
0.1,1.45,-0.190713
0.1,1.5,-0.188819
0.1,1.55,-0.186345
0.1,1.6,-0.183292
0.1,1.65,-0.179663
0.1,1.7,-0.175461
0.1,1.75,-0.17069
0.1,1.8,-0.165354
0.1,1.85,-0.159461
0.1,1.9,-0.153017
0.1,1.95,-0.14603
0.1,2,-0.13851
0.1,2.05,-0.130468
0.1,2.1,-0.121915
0.1,2.15,-0.112867
0.1,2.2,-0.103339
0.1,2.25,-0.0933475
0.1,2.3,-0.0829132
0.1,2.35,-0.0720574
0.1,2.4,-0.0608039
0.1,2.45,-0.049179
0.1,2.5,-0.0372116
0.1,2.55,-0.0249334
0.1,2.6,-0.0123791
0.1,2.65,0.000413297
0.1,2.7,0.0134025
0.1,2.75,0.0265431
0.1,2.8,0.039786
0.1,2.85,0.0530771
0.1,2.9,0.0663579
0.1,2.95,0.079564
0.1,3,0.0926253
0.1,3.05,0.105465
0.1,3.1,0.117998
0.1,3.15,0.130132
0.1,3.2,0.141765
0.1,3.25,0.15278
0.1,3.3,0.163052
0.1,3.35,0.172436
0.1,3.4,0.18077
0.1,3.45,0.187868
0.1,3.5,0.193513
0.1,3.55,0.197453
0.1,3.6,0.199387
0.1,3.65,0.198944
0.1,3.7,0.195667
0.1,3.75,0.188964
0.1,3.8,0.178044
0.1,3.85,0.161807
0.1,3.9,0.138634
0.1,3.95,0.106027
0.1,4,0.06
0.15,0,0
0.15,0.05,-0.0209265
0.15,0.1,-0.0410974
0.15,0.15,-0.0605072
0.15,0.2,-0.0791503
0.15,0.25,-0.0970211
0.15,0.3,-0.114114
0.15,0.35,-0.130424
0.15,0.4,-0.145944
0.15,0.45,-0.16067
0.15,0.5,-0.174596
0.15,0.55,-0.187717
0.15,0.6,-0.200026
0.15,0.65,-0.21152
0.15,0.7,-0.222191
0.15,0.75,-0.232036
0.15,0.8,-0.241048
0.15,0.85,-0.249224
0.15,0.9,-0.256558
0.15,0.95,-0.263045
0.15,1,-0.268681
0.15,1.05,-0.273462
0.15,1.1,-0.277384
0.15,1.15,-0.280444
0.15,1.2,-0.282638
0.15,1.25,-0.283963
0.15,1.3,-0.284419
0.15,1.35,-0.284002
0.15,1.4,-0.282712
0.15,1.45,-0.280549
0.15,1.5,-0.277514
0.15,1.55,-0.273607
0.15,1.6,-0.268832
0.15,1.65,-0.263192
0.15,1.7,-0.256691
0.15,1.75,-0.249336
0.15,1.8,-0.241134
0.15,1.85,-0.232094
0.15,1.9,-0.222226
0.15,1.95,-0.211542
0.15,2,-0.200058
0.15,2.05,-0.187789
0.15,2.1,-0.174753
0.15,2.15,-0.160971
0.15,2.2,-0.146468
0.15,2.25,-0.131268
0.15,2.3,-0.115402
0.15,2.35,-0.0989002
0.15,2.4,-0.0817998
0.15,2.45,-0.0641394
0.15,2.5,-0.0459625
0.15,2.55,-0.0273159
0.15,2.6,-0.00825174
0.15,2.65,0.0111737
0.15,2.7,0.0308982
0.15,2.75,0.0508548
0.15,2.8,0.0709696
0.15,2.85,0.0911627
0.15,2.9,0.111346
0.15,2.95,0.131425
0.15,3,0.151294
0.15,3.05,0.17084
0.15,3.1,0.189937
0.15,3.15,0.208447
0.15,3.2,0.226218
0.15,3.25,0.24308
0.15,3.3,0.258846
0.15,3.35,0.273304
0.15,3.4,0.286216
0.15,3.45,0.297311
0.15,3.5,0.306274
0.15,3.55,0.312741
0.15,3.6,0.316281
0.15,3.65,0.316375
0.15,3.7,0.312386
0.15,3.75,0.303515
0.15,3.8,0.288735
0.15,3.85,0.266688
0.15,3.9,0.235541
0.15,3.95,0.192777
0.15,4,0.135
0.2,0,0
0.2,0.05,-0.0276489
0.2,0.1,-0.0542903
0.2,0.15,-0.0799169
0.2,0.2,-0.104521
0.2,0.25,-0.128096
0.2,0.3,-0.150633
0.2,0.35,-0.172126
0.2,0.4,-0.192566
0.2,0.45,-0.211948
0.2,0.5,-0.230262
0.2,0.55,-0.247503
0.2,0.6,-0.263662
0.2,0.65,-0.278732
0.2,0.7,-0.292707
0.2,0.75,-0.305579
0.2,0.8,-0.317341
0.2,0.85,-0.327987
0.2,0.9,-0.337511
0.2,0.95,-0.345905
0.2,1,-0.353164
0.2,1.05,-0.359283
0.2,1.1,-0.364256
0.2,1.15,-0.368078
0.2,1.2,-0.370746
0.2,1.25,-0.372255
0.2,1.3,-0.372603
0.2,1.35,-0.371787
0.2,1.4,-0.369806
0.2,1.45,-0.366661
0.2,1.5,-0.36235
0.2,1.55,-0.356878
0.2,1.6,-0.350245
0.2,1.65,-0.342458
0.2,1.7,-0.333522
0.2,1.75,-0.323446
0.2,1.8,-0.312238
0.2,1.85,-0.29991
0.2,1.9,-0.286476
0.2,1.95,-0.271954
0.2,2,-0.25636
0.2,2.05,-0.239717
0.2,2.1,-0.222049
0.2,2.15,-0.203383
0.2,2.2,-0.183751
0.2,2.25,-0.163188
0.2,2.3,-0.141731
0.2,2.35,-0.119423
0.2,2.4,-0.0963116
0.2,2.45,-0.0724487
0.2,2.5,-0.047891
0.2,2.55,-0.0227015
